tbl,Year,quarter,citymarketid_1,citymarketid_2,City1,City2,nsmiles,airportid_1,airportid_2,airport_1,airport_2,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low
Table1a,2014,3,30194,31295,"Dallas/Fort Worth, TX","Detroit, MI",986,11259,11433,DAL,DTW,62.17391304,257.6157343,WN,0.90034965,251.168932,UA,0.055944056,280.259375
Table1a,2014,3,30194,31295,"Dallas/Fort Worth, TX","Detroit, MI",986,11298,11433,DFW,DTW,1056.847826,248.3564126,AA,0.365319346,282.9557714,AA,0.365319346,282.9557714
Table1a,2014,3,30194,31423,"Dallas/Fort Worth, TX","Des Moines, IA",624,11259,11423,DAL,DSM,5,229.4173913,UA,0.586956522,226.3814815,UA,0.586956522,226.3814815
Table1a,2014,3,30194,31423,"Dallas/Fort Worth, TX","Des Moines, IA",624,11298,11423,DFW,DSM,171.3043478,255.5732234,AA,0.867385787,255.3276518,DL,0.045050761,270.7619718
Table1a,2014,3,30194,31423,"Dallas/Fort Worth, TX","Des Moines, IA",624,11298,11423,DFW,DSM,171.3043478,255.5732234,AA,0.867385787,255.3276518,AA,0.867385787,255.3276518
Table1a,2014,3,30194,31423,"Dallas/Fort Worth, TX","Des Moines, IA",624,11298,11423,DFW,DSM,171.3043478,255.5732234,AA,0.867385787,255.3276518,UA,0.04822335,245.7644737
Table1a,2014,3,30194,31423,"Dallas/Fort Worth, TX","Des Moines, IA",624,11298,11423,DFW,DSM,171.3043478,255.5732234,AA,0.867385787,255.3276518,US,0.019670051,308.3677419
Table1a,2014,3,30194,31453,"Dallas/Fort Worth, TX","Houston, TX",247,11259,12191,DAL,HOU,1891.413043,183.4198782,WN,0.999597724,183.4041164,WN,0.999597724,183.4041164
Table1a,2014,3,30194,31453,"Dallas/Fort Worth, TX","Houston, TX",247,11259,12266,DAL,IAH,126.4130435,197.4089424,UA,0.996560619,197.5176014,UA,0.996560619,197.5176014
Table1a,2014,3,30194,31453,"Dallas/Fort Worth, TX","Houston, TX",247,11298,12191,DFW,HOU,191.5217391,172.83042,AA,0.943813848,172.8668671,US,0.011350738,225.965
Table1a,2014,3,30194,31453,"Dallas/Fort Worth, TX","Houston, TX",247,11298,12191,DFW,HOU,191.5217391,172.83042,AA,0.943813848,172.8668671,AA,0.943813848,172.8668671
Table1a,2014,3,30194,31453,"Dallas/Fort Worth, TX","Houston, TX",247,11298,12266,DFW,IAH,667.173913,182.7966764,AA,0.650211795,176.6681784,AA,0.650211795,176.6681784
Table1a,2014,3,30194,31454,"Dallas/Fort Worth, TX","Orlando, FL",985,11259,13204,DAL,MCO,356.0869565,178.1971917,WN,0.971306471,176.9771842,UA,0.018009768,223.2830508
Table1a,2014,3,30194,31454,"Dallas/Fort Worth, TX","Orlando, FL",985,11259,13204,DAL,MCO,356.0869565,178.1971917,WN,0.971306471,176.9771842,WN,0.971306471,176.9771842
Table1a,2014,3,30194,31454,"Dallas/Fort Worth, TX","Orlando, FL",985,11298,13204,DFW,MCO,1394.891304,193.1082366,AA,0.66640692,220.3965388,AA,0.66640692,220.3965388
Table1a,2014,3,30194,31504,"Dallas/Fort Worth, TX","Valparaiso, FL",641,11259,15624,DAL,VPS,5,263.0608696,DL,0.586956522,281.6,DL,0.586956522,281.6
Table1a,2014,3,30194,31504,"Dallas/Fort Worth, TX","Valparaiso, FL",641,11298,15624,DFW,VPS,203.6956522,247.0895945,AA,0.861792956,245.8103406,UA,0.026147279,218.8346939
Table1a,2014,3,30194,31504,"Dallas/Fort Worth, TX","Valparaiso, FL",641,11298,15624,DFW,VPS,203.6956522,247.0895945,AA,0.861792956,245.8103406,DL,0.067769477,275.4322835
Table1a,2014,3,30194,31504,"Dallas/Fort Worth, TX","Valparaiso, FL",641,11298,15624,DFW,VPS,203.6956522,247.0895945,AA,0.861792956,245.8103406,AA,0.861792956,245.8103406
Table1a,2014,3,30194,31504,"Dallas/Fort Worth, TX","Valparaiso, FL",641,11298,15624,DFW,VPS,203.6956522,247.0895945,AA,0.861792956,245.8103406,US,0.033084312,245.2209677
