Year,Quarter,origin_cty,dest_cty,origin_apt,dest_apt,distance,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low
2012,2,30185,30721,AEX,MHT,1408,0.66,455.68,DL,50,304,DL,50,304
2012,2,30185,32467,AEX,MIA,836,5.05,340.5,AA,45.7,339.81,DL,26.1,323.08
2012,2,30185,32575,AEX,ONT,1468,5.27,347.55,UA,45.8,287.9,UA,45.8,287.9
2012,2,30185,30977,AEX,ORD,778,12.53,329.3,AA,48.3,297.16,AA,48.3,297.16
2012,2,30185,30721,AEX,PVD,1371,1.54,362.7,UA,57.1,284.99,UA,57.1,284.99
2012,2,30185,32575,AEX,SNA,1484,3.85,272.86,AA,62.9,270.59,UA,28.6,260.28
2012,2,30185,31703,AEX,SWF,1240,1.43,590.36,DL,100,590.36,DL,100,590.36
2012,2,30185,33195,AEX,TPA,645,14.4,207.06,UA,39.7,189.2,UA,39.7,189.2
2012,2,30208,30721,AGS,BOS,861,37.36,234.14,US,60.9,242.57,DL,37.4,224.3
2012,2,30208,32575,AGS,BUR,2084,0.11,818.06,DL,100,818.06,DL,100,818.06
2012,2,30208,30852,AGS,BWI,497,49.12,255.87,DL,54.4,262.2,US,40.3,240.95
2012,2,30208,30647,AGS,CAK,521,4.18,229.35,US,60.5,232.06,DL,39.5,225.19
2012,2,30208,30647,AGS,CLE,554,12.75,224.41,US,64.7,238.96,DL,31,193.7
2012,2,30208,30852,AGS,DCA,468,53.85,259.49,US,56.9,265.4,DL,41.4,250.22
2012,2,30208,31703,AGS,EWR,663,28.13,261.53,US,61.3,253.64,US,61.3,253.64
2012,2,30208,32467,AGS,FLL,514,22.42,202.8,DL,51,209.24,US,48.5,193.17
2012,2,30208,31453,AGS,HOU,826,14.4,202.1,DL,97,203.54,DL,97,203.54
2012,2,30208,31703,AGS,HPN,699,7.91,231.17,DL,58.3,239.53,US,36.1,221.82
2012,2,30208,30852,AGS,IAD,460,13.63,300.54,US,46,375.34,DL,39.5,214.13
2012,2,30208,31453,AGS,IAH,821,35.49,250.64,DL,52.9,222.06,DL,52.9,222.06
2012,2,30208,31703,AGS,ISP,708,1.87,190.11,US,100,190.11,US,100,190.11
2012,2,30208,31703,AGS,JFK,675,8.46,232.54,US,50.7,226.79,US,50.7,226.79
2012,2,30208,32575,AGS,LAX,2090,32.75,314.62,DL,71.1,298.07,DL,71.1,298.07
2012,2,30208,31703,AGS,LGA,678,57.25,249.41,US,51.3,229.85,US,51.3,229.85
2012,2,30208,30977,AGS,MDW,661,14.07,165.27,DL,99.2,165.45,DL,99.2,165.45
2012,2,30208,30721,AGS,MHT,873,4.73,296.09,US,55.8,305.54,DL,32.6,220.31
2012,2,30208,32467,AGS,MIA,531,19.23,206.84,DL,59.4,207.71,US,40.6,205.57
2012,2,30208,32457,AGS,OAK,2271,1.87,524.07,DL,58.8,529.17,US,17.7,432.67
2012,2,30208,32575,AGS,ONT,2043,3.74,405.99,US,41.2,548.75,DL,38.2,279.76
2012,2,30208,30977,AGS,ORD,677,47.25,226.44,DL,47.9,189.63,DL,47.9,189.63
2012,2,30208,33667,AGS,ORF,407,9.34,249.02,US,55.3,245.11,US,55.3,245.11
2012,2,30208,33667,AGS,PHF,404,3.96,259.31,US,75,216.64,US,75,216.64
2012,2,30208,30721,AGS,PVD,815,11.1,252.72,US,70.3,251.03,DL,25.7,240.99
2012,2,30208,32457,AGS,SFO,2280,20.66,337.12,DL,49.5,337.12,DL,49.5,337.12
2012,2,30208,32457,AGS,SJC,2257,0.99,390.77,DL,55.6,366.26,DL,55.6,366.26
2012,2,30208,32575,AGS,SNA,2062,5.05,432.45,DL,91.3,417.39,DL,91.3,417.39
2012,2,30208,31703,AGS,SWF,707,0.44,316.23,DL,75,364.32,US,25,171.98
2012,2,30208,33195,AGS,TPA,373,24.51,226.7,DL,56.1,242.78,US,42.2,205.09
2012,2,30257,32575,ALB,BUR,2457,9.23,318.26,WN,90.5,308.25,WN,90.5,308.25
2012,2,30257,30852,ALB,BWI,289,422.64,131.36,WN,98.2,131.03,WN,98.2,131.03
2012,2,30257,30647,ALB,CAK,414,4.07,263.98,US,73,260.47,US,73,260.47
2012,2,30257,30647,ALB,CLE,424,68.46,251.21,UA,84.4,247.9,UA,84.4,247.9
2012,2,30257,30852,ALB,DCA,318,175.93,180.08,US,98.7,179.26,US,98.7,179.26
2012,2,30257,32467,ALB,FLL,1204,325.16,192.57,WN,74,195.21,WN,74,195.21
2012,2,30257,31453,ALB,HOU,1495,30.77,297.3,WN,95,299.01,WN,95,299.01
2012,2,30257,30852,ALB,IAD,325,53.41,219.61,UA,97.3,217.59,UA,97.3,217.59
2012,2,30257,31453,ALB,IAH,1482,64.84,310.8,UA,60.3,309.82,DL,14.4,294.82
2012,2,30257,32575,ALB,LAX,2468,147.03,305.1,UA,39.7,307.09,WN,28.9,285.11
2012,2,30257,32575,ALB,LGB,2459,0.11,260.72,,0,0,,0,9999
2012,2,30257,30977,ALB,MDW,717,107.69,241.48,WN,98.5,241.77,WN,98.5,241.77
2012,2,30257,32467,ALB,MIA,1225,21.76,287.1,US,33.3,302.03,DL,25.8,270.31
2012,2,30257,32457,ALB,OAK,2548,22.42,327.41,WN,95.1,327.15,WN,95.1,327.15
2012,2,30257,32575,ALB,ONT,2423,16.48,349.43,WN,65.3,318.46,WN,65.3,318.46
2012,2,30257,30977,ALB,ORD,723,212.86,244.58,UA,92.6,243.33,UA,92.6,243.33
2012,2,30257,33667,ALB,ORF,424,49.89,220.68,WN,57.1,215.04,WN,57.1,215.04
2012,2,30257,33667,ALB,PHF,413,4.18,209.47,US,100,209.47,US,100,209.47
2012,2,30257,32457,ALB,SFO,2559,139.12,354.88,UA,54.4,358.68,WN,18.9,295.78
2012,2,30257,32457,ALB,SJC,2544,24.62,355.49,WN,65.6,328.13,WN,65.6,328.13
2012,2,30257,32575,ALB,SNA,2449,21.32,368.43,WN,52.6,336.84,WN,52.6,336.84
2012,2,30257,33195,ALB,TPA,1130,324.4,208.2,WN,65.3,214.06,DL,10.2,195.01
2012,2,30275,32575,ALW,BUR,821,2.31,189,AS,100,189,AS,100,189
2012,2,30275,32575,ALW,LAX,838,8.35,222.37,AS,97.4,220.13,AS,97.4,220.13
2012,2,30275,32575,ALW,LGB,847,0.55,228.22,AS,80,201.16,AS,80,201.16
2012,2,30275,32575,ALW,ONT,831,1.43,147.36,AS,92.3,139.14,AS,92.3,139.14
2012,2,30275,32575,ALW,SNA,857,6.48,157.11,AS,96.6,155.14,AS,96.6,155.14
2012,2,30279,30721,AMA,BOS,1718,10.88,312.54,AA,39.4,282.7,AA,39.4,282.7
2012,2,30279,32575,AMA,BUR,949,3.96,301.47,WN,97.2,282.85,WN,97.2,282.85
2012,2,30279,30852,AMA,BWI,1403,14.62,321.1,WN,60.2,338.29,UA,17.3,289.12
2012,2,30279,30852,AMA,DCA,1382,19.45,317.25,AA,58.2,311.94,AA,58.2,311.94
2012,2,30279,31703,AMA,EWR,1544,13.19,295.96,UA,36.7,303.95,WN,35,273.83
2012,2,30279,32467,AMA,FLL,1426,10.44,307.44,WN,33.7,321.1,UA,23.2,275.79
2012,2,30279,31453,AMA,HOU,537,106.7,232.33,WN,97.4,232.58,WN,97.4,232.58
2012,2,30279,31703,AMA,HPN,1570,0.22,202.56,AA,50,209.46,AA,50,209.46
2012,2,30279,30852,AMA,IAD,1360,7.47,331.7,UA,38.2,340,AA,36.8,316.58
2012,2,30279,31453,AMA,IAH,517,95.16,243.89,UA,91.6,248.98,UA,91.6,248.98
2012,2,30279,31703,AMA,JFK,1564,0.55,342.65,AA,80,345.54,AA,80,345.54
2012,2,30279,32575,AMA,LAX,955,27.91,286.09,WN,63.4,270.15,WN,63.4,270.15
2012,2,30279,31703,AMA,LGA,1560,15.6,313.62,AA,57,326.66,UA,29.6,292.17
2012,2,30279,30977,AMA,MDW,880,13.41,279.36,WN,96.7,283.05,WN,96.7,283.05
2012,2,30279,30721,AMA,MHT,1702,2.53,323.06,WN,73.9,297.79,WN,73.9,297.79
2012,2,30279,32467,AMA,MIA,1429,7.69,327.09,AA,52.9,339.87,UA,42.9,316.64
2012,2,30279,32457,AMA,OAK,1153,8.9,355.47,WN,97.5,358.57,WN,97.5,358.57
2012,2,30279,32575,AMA,ONT,908,9.56,343.17,WN,73.6,324.88,WN,73.6,324.88
2012,2,30279,30977,AMA,ORD,879,21.87,303.41,AA,71.4,281.65,AA,71.4,281.65
2012,2,30279,30721,AMA,PVD,1692,0.66,452.38,UA,33.3,494.71,WN,33.3,346.47
2012,2,30279,32457,AMA,SFO,1161,13.41,330,AA,33.6,319.64,WN,31.2,317.15
2012,2,30279,32457,AMA,SJC,1136,7.58,277.1,WN,84.1,264.14,WN,84.1,264.14
2012,2,30279,32575,AMA,SNA,928,12.31,341.79,WN,62.5,325.99,WN,62.5,325.99
2012,2,30361,30977,ART,ORD,618,15.49,237.69,AA,100,237.69,AA,100,237.69
2012,2,30372,30721,ASE,BOS,1879,17.14,431.12,UA,87.8,434.31,UA,87.8,434.31
2012,2,30372,32575,ASE,BUR,725,2.09,257.59,UA,94.7,261.19,UA,94.7,261.19
2012,2,30372,30852,ASE,BWI,1613,6.7,411.01,UA,83.6,413.44,UA,83.6,413.44
2012,2,30372,30852,ASE,DCA,1598,6.7,432.28,UA,67.2,440.06,F9,13.1,352.78
2012,2,30372,31703,ASE,EWR,1729,20.11,491.37,UA,92.9,494.74,UA,92.9,494.74
2012,2,30372,32467,ASE,FLL,1792,13.85,392.57,UA,62.7,394.94,F9,22.2,381.28
2012,2,30372,31453,ASE,HOU,933,0.33,300.02,F9,100,300.02,F9,100,300.02
2012,2,30372,31703,ASE,HPN,1750,0.88,453.86,UA,75,382.21,UA,75,382.21
2012,2,30372,30852,ASE,IAD,1574,12.75,464.55,UA,97.4,454.92,UA,97.4,454.92
2012,2,30372,31453,ASE,IAH,913,23.19,429.12,UA,98.1,428.95,UA,98.1,428.95
2012,2,30372,31703,ASE,JFK,1750,0.66,765.59,,0,0,,0,9999
2012,2,30372,32575,ASE,LAX,737,38.46,367.78,UA,66,410.6,AA,27.4,285.41
2012,2,30372,31703,ASE,LGA,1744,46.26,474.47,UA,82.2,491.07,UA,82.2,491.07
2012,2,30372,30977,ASE,MDW,1020,3.3,304.35,F9,60,294.42,F9,60,294.42
2012,2,30372,30721,ASE,MHT,1854,0.66,476.99,UA,83.3,318.19,UA,83.3,318.19
2012,2,30372,32467,ASE,MIA,1796,6.26,433.06,UA,57.9,353.29,UA,57.9,353.29
2012,2,30372,32457,ASE,OAK,838,0.99,325.78,UA,77.8,315.34,UA,77.8,315.34
2012,2,30372,32575,ASE,ONT,694,0.55,356.42,UA,100,356.42,UA,100,356.42
2012,2,30372,30977,ASE,ORD,1013,28.57,393.56,UA,94.2,399,UA,94.2,399
2012,2,30372,30721,ASE,PVD,1862,1.32,332.75,UA,91.7,330.02,UA,91.7,330.02
